I,T,Uraw
2.64e-05,314.942,0.9624
2.64e-05,310.026,0.960255
2.64e-05,304.968,0.95946
2.64e-05,299.929,0.960704
2.64e-05,294.951,0.96523
2.64e-05,289.928,0.973017
2.64e-05,284.937,0.982991
2.64e-05,279.929,0.994466
2.64e-05,274.937,1.00724
2.64e-05,269.922,1.02157
2.64e-05,264.936,1.03727
2.64e-05,259.943,1.05455
2.64e-05,254.925,1.07354
2.64e-05,249.941,1.09415
2.64e-05,242.205,1.13522
2.52e-05,314.942,0.918707
2.52e-05,310.026,0.916663
2.52e-05,304.968,0.91591
2.52e-05,299.929,0.917104
2.52e-05,294.951,0.921426
2.52e-05,289.928,0.928864
2.52e-05,284.937,0.938379
2.52e-05,279.929,0.949351
2.52e-05,274.937,0.961662
2.52e-05,269.922,0.975362
2.52e-05,264.936,0.990361
2.52e-05,259.943,1.00672
2.52e-05,254.925,1.02485
2.52e-05,249.941,1.04453
2.52e-05,242.205,1.08376
2.4e-05,314.942,0.87502
2.4e-05,310.026,0.873075
2.4e-05,304.968,0.872361
2.4e-05,299.929,0.873499
2.4e-05,294.951,0.877609
2.4e-05,289.928,0.884698
2.4e-05,284.937,0.893762
2.4e-05,279.929,0.904223
2.4e-05,274.937,0.915944
2.4e-05,269.922,0.929002
2.4e-05,264.936,0.943295
2.4e-05,259.943,0.959032
2.4e-05,254.925,0.9763
2.4e-05,249.941,0.995009
2.4e-05,242.205,1.03229
2.28e-05,314.942,0.831322
2.28e-05,310.026,0.82947
2.28e-05,304.968,0.828794
2.28e-05,299.929,0.829883
2.28e-05,294.951,0.833786
2.28e-05,289.928,0.840526
2.28e-05,284.937,0.849138
2.28e-05,279.929,0.859078
2.28e-05,274.937,0.870223
2.28e-05,269.922,0.882629
2.28e-05,264.936,0.896221
2.28e-05,259.943,0.911179
2.28e-05,254.925,0.927596
2.28e-05,249.941,0.94542
2.28e-05,242.205,0.980952
2.16e-05,314.942,0.787617
2.16e-05,310.026,0.785859
2.16e-05,304.968,0.785227
2.16e-05,299.929,0.78625
2.16e-05,294.951,0.789954
2.16e-05,289.928,0.796345
2.16e-05,284.937,0.804502
2.16e-05,279.929,0.813927
2.16e-05,274.937,0.824496
2.16e-05,269.922,0.836247
2.16e-05,264.936,0.849139
2.16e-05,259.943,0.863311
2.16e-05,254.925,0.878875
2.16e-05,249.941,0.89577
2.16e-05,242.205,0.929443
2.04e-05,314.942,0.743898
2.04e-05,310.026,0.74225
2.04e-05,304.968,0.741641
2.04e-05,299.929,0.742613
2.04e-05,294.951,0.74611
2.04e-05,289.928,0.752146
2.04e-05,284.937,0.75986
2.04e-05,279.929,0.768764
2.04e-05,274.937,0.778752
2.04e-05,269.922,0.78986
2.04e-05,264.936,0.802042
2.04e-05,259.943,0.815428
2.04e-05,254.925,0.830138
2.04e-05,249.941,0.846104
2.04e-05,242.205,0.87792
1.92e-05,314.942,0.700179
1.92e-05,310.026,0.698619
1.92e-05,304.968,0.698049
1.92e-05,299.929,0.698974
1.92e-05,294.951,0.70226
1.92e-05,289.928,0.707946
1.92e-05,284.937,0.715209
1.92e-05,279.929,0.723599
1.92e-05,274.937,0.732992
1.92e-05,269.922,0.74346
1.92e-05,264.936,0.754925
1.92e-05,259.943,0.767538
1.92e-05,254.925,0.781389
1.92e-05,249.941,0.796424
1.92e-05,242.205,0.826376
1.8e-05,314.942,0.656449
1.8e-05,310.026,0.654994
1.8e-05,304.968,0.654458
1.8e-05,299.929,0.655323
1.8e-05,294.951,0.658403
1.8e-05,289.928,0.663734
1.8e-05,284.937,0.670551
1.8e-05,279.929,0.678408
1.8e-05,274.937,0.687231
1.8e-05,269.922,0.697047
1.8e-05,264.936,0.707803
1.8e-05,259.943,0.71963
1.8e-05,254.925,0.73263
1.8e-05,249.941,0.746735
1.8e-05,242.205,0.774832
1.68e-05,314.942,0.612707
1.68e-05,310.026,0.611347
1.68e-05,304.968,0.61085
1.68e-05,299.929,0.611665
1.68e-05,294.951,0.614541
1.68e-05,289.928,0.619518
1.68e-05,284.937,0.625883
1.68e-05,279.929,0.63322
1.68e-05,274.937,0.641448
1.68e-05,269.922,0.650616
1.68e-05,264.936,0.660668
1.68e-05,259.943,0.671711
1.68e-05,254.925,0.68385
1.68e-05,249.941,0.697025
1.68e-05,242.205,0.723257
1.56e-05,314.942,0.568962
1.56e-05,310.026,0.567702
1.56e-05,304.968,0.567237
1.56e-05,299.929,0.567997
1.56e-05,294.951,0.570668
1.56e-05,289.928,0.575298
1.56e-05,284.937,0.581209
1.56e-05,279.929,0.588027
1.56e-05,274.937,0.595669
1.56e-05,269.922,0.604187
1.56e-05,264.936,0.613524
1.56e-05,259.943,0.623784
1.56e-05,254.925,0.635063
1.56e-05,249.941,0.647299
1.56e-05,242.205,0.671668
1.44e-05,314.942,0.525214
1.44e-05,310.026,0.524042
1.44e-05,304.968,0.52362
1.44e-05,299.929,0.524319
1.44e-05,294.951,0.526789
1.44e-05,289.928,0.531069
1.44e-05,284.937,0.536524
1.44e-05,279.929,0.542824
1.44e-05,274.937,0.549879
1.44e-05,269.922,0.557747
1.44e-05,264.936,0.566371
1.44e-05,259.943,0.575844
1.44e-05,254.925,0.586262
1.44e-05,249.941,0.597565
1.44e-05,242.205,0.620064
1.32e-05,314.942,0.481452
1.32e-05,310.026,0.480387
1.32e-05,304.968,0.479993
1.32e-05,299.929,0.480635
1.32e-05,294.951,0.482903
1.32e-05,289.928,0.486822
1.32e-05,284.937,0.491832
1.32e-05,279.929,0.497609
1.32e-05,274.937,0.50408
1.32e-05,269.922,0.511296
1.32e-05,264.936,0.519206
1.32e-05,259.943,0.527893
1.32e-05,254.925,0.537449
1.32e-05,249.941,0.547818
1.32e-05,242.205,0.568444
1.2e-05,314.942,0.437684
1.2e-05,310.026,0.436721
1.2e-05,304.968,0.436369
1.2e-05,299.929,0.436946
1.2e-05,294.951,0.439016
1.2e-05,289.928,0.442577
1.2e-05,284.937,0.447131
1.2e-05,279.929,0.452386
1.2e-05,274.937,0.458272
1.2e-05,269.922,0.464834
1.2e-05,264.936,0.472031
1.2e-05,259.943,0.479931
1.2e-05,254.925,0.48862
1.2e-05,249.941,0.498052
1.2e-05,242.205,0.516812
1.08e-05,314.942,0.393919
1.08e-05,310.026,0.393048
1.08e-05,304.968,0.392735
1.08e-05,299.929,0.393255
1.08e-05,294.951,0.395123
1.08e-05,289.928,0.398328
1.08e-05,284.937,0.402422
1.08e-05,279.929,0.407161
1.08e-05,274.937,0.412463
1.08e-05,269.922,0.418371
1.08e-05,264.936,0.424849
1.08e-05,259.943,0.43196
1.08e-05,254.925,0.439783
1.08e-05,249.941,0.448272
1.08e-05,242.205,0.465165
9.6e-06,314.942,0.350143
9.6e-06,310.026,0.349374
9.6e-06,304.968,0.349092
9.6e-06,299.929,0.349558
9.6e-06,294.951,0.351214
9.6e-06,289.928,0.354071
9.6e-06,284.937,0.357708
9.6e-06,279.929,0.361925
9.6e-06,274.937,0.366636
9.6e-06,269.922,0.371891
9.6e-06,264.936,0.377649
9.6e-06,259.943,0.383979
9.6e-06,254.925,0.390932
9.6e-06,249.941,0.398482
9.6e-06,242.205,0.413502
8.4e-06,314.942,0.306364
8.4e-06,310.026,0.305693
8.4e-06,304.968,0.305444
8.4e-06,299.929,0.305854
8.4e-06,294.951,0.307303
8.4e-06,289.928,0.309803
8.4e-06,284.937,0.31299
8.4e-06,279.929,0.316682
8.4e-06,274.937,0.320808
8.4e-06,269.922,0.325404
8.4e-06,264.936,0.330445
8.4e-06,259.943,0.335983
8.4e-06,254.925,0.342073
8.4e-06,249.941,0.348681
8.4e-06,242.205,0.361824
7.2e-06,314.942,0.262585
7.2e-06,310.026,0.262008
7.2e-06,304.968,0.261798
7.2e-06,299.929,0.262153
7.2e-06,294.951,0.263396
7.2e-06,289.928,0.265532
7.2e-06,284.937,0.268268
7.2e-06,279.929,0.271434
7.2e-06,274.937,0.274971
7.2e-06,269.922,0.278915
7.2e-06,264.936,0.283239
7.2e-06,259.943,0.287986
7.2e-06,254.925,0.293206
7.2e-06,249.941,0.298873
7.2e-06,242.205,0.310138
6e-06,314.942,0.218801
6e-06,310.026,0.218317
6e-06,304.968,0.218141
6e-06,299.929,0.218438
6e-06,294.951,0.219475
6e-06,289.928,0.221257
6e-06,284.937,0.22354
6e-06,279.929,0.226176
6e-06,274.937,0.229125
6e-06,269.922,0.232413
6e-06,264.936,0.236018
6e-06,259.943,0.239974
6e-06,254.925,0.244323
6e-06,249.941,0.249047
6e-06,242.205,0.258434
4.8e-06,314.942,0.175006
4.8e-06,310.026,0.174623
4.8e-06,304.968,0.174481
4.8e-06,299.929,0.174721
4.8e-06,294.951,0.175548
4.8e-06,289.928,0.176979
4.8e-06,284.937,0.178807
4.8e-06,279.929,0.180916
4.8e-06,274.937,0.183275
4.8e-06,269.922,0.185905
4.8e-06,264.936,0.188787
4.8e-06,259.943,0.191953
4.8e-06,254.925,0.195434
4.8e-06,249.941,0.199216
4.8e-06,242.205,0.206722
3.6e-06,314.942,0.131209
3.6e-06,310.026,0.130922
3.6e-06,304.968,0.130811
3.6e-06,299.929,0.130993
